"Rank","Player","Team","Bye","POS","AVG"
"1","Bijan Robinson","ATL","","RB1","1.0"
"2","Jahmyr Gibbs","DET","","RB2","2.0"
"3","Ja'Marr Chase","CIN","","WR1","3.0"
"4","Puka Nacua","LAR","","WR2","4.0"
"5","Jaxon Smith-Njigba","SEA","","WR3","5.0"
"6","Jonathan Taylor","IND","","RB3","6.0"
"7","Christian McCaffrey","SF","","RB4","7.0"
"8","Amon-Ra St. Brown","DET","","WR4","8.0"
"9","CeeDee Lamb","DAL","","WR5","9.0"
"10","Justin Jefferson","MIN","","WR6","10.0"
"11","James Cook III","BUF","","RB5","11.0"
"12","Ashton Jeanty","LV","","RB6","12.0"
"13","De'Von Achane","MIA","","RB7","13.0"
"14","Saquon Barkley","PHI","","RB8","14.0"
"15","Kenneth Walker III","KC","","RB9","15.0"
"16","Omarion Hampton","LAC","","RB10","16.0"
"17","Derrick Henry","BAL","","RB11","17.0"
"18","Chase Brown","CIN","","RB12","18.0"
"19","Rashee Rice","KC","","WR7","19.0"
"20","Drake London","ATL","","WR8","20.0"
"21","Malik Nabers","NYG","","WR9","21.0"
"22","Brock Bowers","LV","","TE1","22.0"
"23","Jeremiyah Love","ARI","","RB13","23.0"
"24","Trey McBride","ARI","","TE2","24.0"
"25","George Pickens","DAL","","WR10","25.0"
"26","Nico Collins","HOU","","WR11","26.0"
"27","Josh Jacobs","GB","","RB14","27.0"
"28","A.J. Brown","PHI","","WR12","28.0"
"29","Josh Allen","BUF","","QB1","29.0"
"30","Breece Hall","NYJ","","RB15","30.0"
"31","Travis Etienne Jr.","NO","","RB16","31.0"
"32","DeVonta Smith","PHI","","WR13","32.0"
"33","Chris Olave","NO","","WR14","33.0"
"34","Kyren Williams","LAR","","RB17","34.0"
"35","Tetairoa McMillan","CAR","","WR15","35.0"
"36","Tee Higgins","CIN","","WR16","36.0"
"37","Javonte Williams","DAL","","RB18","37.0"
"38","Garrett Wilson","NYJ","","WR17","38.0"
"39","Zay Flowers","BAL","","WR18","39.0"
"40","Emeka Egbuka","TB","","WR19","40.0"
"41","Ladd McConkey","LAC","","WR20","41.0"
